event,variable,year,entropy
editorials,rfm,2000,2.376125
editorials,rfm,2001,2.307812
editorials,rfm,2002,2.359336
editorials,rfm,2003,2.255588
editorials,rfm,2004,2.173463
editorials,rfm,2005,2.422181
editorials,rfm,2006,2.304696
editorials,rfm,2007,2.258149
editorials,rfm,2008,2.219840
editorials,rfm,2009,2.282322
editorials,rfm,2010,2.261790
editorials,rfm,2011,2.171281
editorials,rfm,2012,2.215952
editorials,rfm,2013,2.175362
editorials,rfm,2014,2.228984
editorials,rfm,2015,2.242215
editorials,rfm,2016,2.296884
editorials,rfm,2017,2.358914
editorials,rfm,2018,2.403425
editorials,rfm,2019,2.452908
editorials,rfm,2020,2.573676
editorials,rfm,2021,2.580676
editorials,rfm,2022,2.624035
editorials,rfm,2023,2.607486
editorials,rfm,2024,2.607705
editorials,waist,2000,2.440633
editorials,waist,2001,2.262735
editorials,waist,2002,2.319547
editorials,waist,2003,2.201150
editorials,waist,2004,2.199455
editorials,waist,2005,2.586279
editorials,waist,2006,2.318219
editorials,waist,2007,2.361399
editorials,waist,2008,2.325110
editorials,waist,2009,2.447404
editorials,waist,2010,2.431212
editorials,waist,2011,2.297414
editorials,waist,2012,2.347828
editorials,waist,2013,2.302471
editorials,waist,2014,2.367909
editorials,waist,2015,2.381723
editorials,waist,2016,2.445427
editorials,waist,2017,2.519049
editorials,waist,2018,2.550476
editorials,waist,2019,2.617495
editorials,waist,2020,2.771248
editorials,waist,2021,2.761442
editorials,waist,2022,2.816382
editorials,waist,2023,2.804369
editorials,waist,2024,2.786202
editorials,world_region,2000,2.154367
editorials,world_region,2001,2.437796
editorials,world_region,2002,2.541327
editorials,world_region,2003,2.523536
editorials,world_region,2004,2.519302
editorials,world_region,2005,2.634352
editorials,world_region,2006,2.668216
editorials,world_region,2007,2.662825
editorials,world_region,2008,2.709125
editorials,world_region,2009,2.680991
editorials,world_region,2010,2.822616
editorials,world_region,2011,2.887039
editorials,world_region,2012,2.859205
editorials,world_region,2013,2.822222
editorials,world_region,2014,2.818348
editorials,world_region,2015,2.844850
editorials,world_region,2016,2.899949
editorials,world_region,2017,2.882285
editorials,world_region,2018,2.950319
editorials,world_region,2019,2.990015
editorials,world_region,2020,3.040603
editorials,world_region,2021,3.067782
editorials,world_region,2022,3.022319
editorials,world_region,2023,3.040389
editorials,world_region,2024,3.093610
fashion_shows,bust,2000,2.204180
fashion_shows,bust,2001,2.240454
fashion_shows,bust,2002,2.243815
fashion_shows,bust,2003,2.252626
fashion_shows,bust,2004,2.285343
fashion_shows,bust,2005,2.331437
fashion_shows,bust,2006,2.409312
fashion_shows,bust,2007,2.456377
fashion_shows,bust,2008,2.509826
fashion_shows,bust,2009,2.461946
fashion_shows,bust,2010,2.413412
fashion_shows,bust,2011,2.351921
fashion_shows,bust,2012,2.378397
fashion_shows,bust,2013,2.379488
fashion_shows,bust,2014,2.342074
fashion_shows,bust,2015,2.388514
fashion_shows,bust,2016,2.436117
fashion_shows,bust,2017,2.484537
fashion_shows,bust,2018,2.660116
fashion_shows,bust,2019,2.668328
fashion_shows,bust,2020,2.679681
fashion_shows,bust,2021,2.778489
fashion_shows,bust,2022,2.840113
fashion_shows,bust,2023,2.838055
fashion_shows,bust,2024,2.650289
fashion_shows,ethnicity,2000,1.147669
fashion_shows,ethnicity,2001,0.992589
fashion_shows,ethnicity,2002,0.915178
fashion_shows,ethnicity,2003,0.871936
fashion_shows,ethnicity,2004,0.987409
fashion_shows,ethnicity,2005,0.971670
fashion_shows,ethnicity,2006,0.872628
fashion_shows,ethnicity,2007,0.950219
fashion_shows,ethnicity,2008,0.965790
fashion_shows,ethnicity,2009,1.056462
fashion_shows,ethnicity,2010,1.150388
fashion_shows,ethnicity,2011,1.133669
fashion_shows,ethnicity,2012,1.130773
fashion_shows,ethnicity,2013,1.253583
fashion_shows,ethnicity,2014,1.288848
fashion_shows,ethnicity,2015,1.195181
fashion_shows,ethnicity,2016,1.520237
fashion_shows,ethnicity,2017,1.578412
fashion_shows,ethnicity,2018,1.614602
fashion_shows,ethnicity,2019,1.860729
fashion_shows,ethnicity,2020,1.961007
fashion_shows,ethnicity,2021,1.952993
fashion_shows,ethnicity,2022,2.178664
fashion_shows,ethnicity,2023,2.259805
fashion_shows,ethnicity,2024,2.220355
fashion_shows,eyes,2000,2.333267
fashion_shows,eyes,2001,2.291711
fashion_shows,eyes,2002,2.344393
fashion_shows,eyes,2003,2.328360
fashion_shows,eyes,2004,2.391267
fashion_shows,eyes,2005,2.384539
fashion_shows,eyes,2006,2.347000
fashion_shows,eyes,2007,2.370179
fashion_shows,eyes,2008,2.476475
fashion_shows,eyes,2009,2.594870
fashion_shows,eyes,2010,2.673441
fashion_shows,eyes,2011,2.692884
fashion_shows,eyes,2012,2.641263
fashion_shows,eyes,2013,2.762399
fashion_shows,eyes,2014,2.636491
fashion_shows,eyes,2015,2.615889
fashion_shows,eyes,2016,2.589263
fashion_shows,eyes,2017,2.614856
fashion_shows,eyes,2018,2.562579
fashion_shows,eyes,2019,2.556470
fashion_shows,eyes,2020,2.531877
fashion_shows,eyes,2021,2.473028
fashion_shows,eyes,2022,2.547054
fashion_shows,eyes,2023,2.493777
fashion_shows,eyes,2024,2.350818
fashion_shows,hair,2000,2.563244
fashion_shows,hair,2001,2.461249
fashion_shows,hair,2002,2.342857
fashion_shows,hair,2003,2.334945
fashion_shows,hair,2004,2.315283
fashion_shows,hair,2005,2.426534
