name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_03063,0.00105,1050.423721,,694,97.786552,17.639344,female
model_08370,0.00105,1049.593987,104100.0,547,97.774587,17.311475,female
model_08096,0.001043,1042.849343,13400.0,403,97.762623,17.311475,female
model_04402,0.001043,1042.711441,,565,97.750658,18.622951,female
model_03181,0.001042,1041.766765,431200.0,574,97.738693,18.857143,female
model_04384,0.001036,1036.389464,46700.0,340,97.726729,17.666667,female
model_04081,0.001035,1035.475156,,503,97.714764,16.983607,female
model_09299,0.001034,1033.887916,,582,97.7028,0.071429,male
model_02897,0.001031,1031.49522,,295,97.690835,12.428571,female
model_00455,0.001028,1028.19401,,800,97.678871,17.311475,female
model_02664,0.001027,1027.337363,,481,97.666906,6.258065,male
model_03744,0.001026,1026.261557,25600.0,492,97.654941,14.983051,female
model_08772,0.001022,1021.512674,116500.0,343,97.642977,13.931034,female
model_02547,0.001017,1017.137404,,423,97.631012,18.580645,female
model_08308,0.001016,1015.757576,,434,97.619048,17.935484,female
model_03946,0.001009,1009.037084,,785,97.607083,,
model_00067,0.001008,1008.170111,,365,97.595118,17.639344,female
model_04327,0.001005,1005.051819,,462,97.583154,,unknown
model_08318,0.001004,1003.506552,34200.0,480,97.571189,16.0,female
model_09267,0.001004,1003.504918,24000.0,607,97.559225,17.967213,female
model_04176,0.001003,1003.164672,,496,97.54726,4.983607,male
model_04709,0.001003,1003.147026,99000.0,374,97.535296,21.151515,female
model_05589,0.000997,996.927694,49200.0,413,97.523331,16.0,female
model_01285,0.000996,996.239265,53200.0,313,97.511366,18.622951,female
model_03553,0.000996,996.00191,,664,97.499402,17.0,female
model_07183,0.000993,993.433124,,448,97.487437,15.327731,female
model_07092,0.000993,992.554233,,784,97.475473,18.622951,female
model_06025,0.000991,990.943057,,574,97.463508,4.512821,male
model_02527,0.000991,990.545184,,672,97.451543,16.666667,female
model_02824,0.000989,988.964534,19600.0,523,97.439579,17.935484,female
model_00098,0.000988,987.832574,,444,97.427614,16.983607,female
model_00704,0.000987,987.128214,78500.0,489,97.41565,16.666667,female
model_06525,0.000986,985.584744,,380,97.403685,15.495798,female
model_04080,0.000981,980.812087,15300.0,709,97.391721,17.311475,female
model_07116,0.000981,980.750114,,499,97.379756,17.639344,female
model_05790,0.000977,976.69178,,251,97.367791,21.3125,female
model_05725,0.000976,975.648213,5300.0,404,97.355827,14.461538,female
model_00142,0.000975,974.978605,,312,97.343862,16.344828,female
model_01067,0.000969,968.894465,,684,97.331898,20.375,female
model_00618,0.000969,968.510265,36300.0,323,97.319933,14.983051,female
model_08432,0.000956,955.783952,14800.0,365,97.307968,,unknown
model_09240,0.000953,953.009704,,475,97.296004,16.983607,female
model_02546,0.000949,949.282346,56700.0,217,97.284039,29.947368,female
model_07677,0.000947,946.908309,20900.0,478,97.272075,17.311475,female
model_06504,0.00094,939.717092,,453,97.26011,12.785714,female
model_03407,0.000938,937.965107,,295,97.248145,17.639344,female
model_04536,0.000934,933.875089,293600.0,237,97.236181,32.0,female
model_01320,0.000931,931.124597,36000.0,370,97.224216,,unknown
model_09307,0.000931,931.066133,123300.0,488,97.212252,2.983051,male
model_02566,0.000925,925.265763,,670,97.200287,16.338983,female
model_04502,0.000924,924.369315,,414,97.188323,17.612903,female
model_06565,0.00092,920.230523,42300.0,473,97.176358,17.0,female
model_05698,0.000915,915.457706,24300.0,455,97.164393,17.311475,female
model_00705,0.000912,912.474421,19400.0,513,97.152429,18.580645,female
model_06255,0.000911,910.606923,23000.0,337,97.140464,14.62069,female
model_09054,0.000905,905.446682,116900.0,437,97.1285,17.0,female
model_02553,0.000904,903.670815,,394,97.116535,16.0,female
