age_int,rfm_bin_left,rfm_bin_right,count
32,16.42857142857143,17.346938775510203,182
32,17.346938775510203,18.26530612244898,147
32,18.26530612244898,19.183673469387756,142
32,19.183673469387756,20.10204081632653,38
32,20.10204081632653,21.02040816326531,86
32,21.02040816326531,21.93877551020408,3
32,21.93877551020408,22.857142857142858,4
32,22.857142857142858,23.775510204081634,21
32,23.775510204081634,24.693877551020407,11
32,24.693877551020407,25.612244897959187,29
32,25.612244897959187,26.53061224489796,2
32,32.04081632653062,32.95918367346939,36
32,32.95918367346939,33.87755102040816,13
32,34.79591836734694,35.714285714285715,53
33,14.591836734693878,15.510204081632654,63
33,15.510204081632654,16.42857142857143,23
33,16.42857142857143,17.346938775510203,124
33,17.346938775510203,18.26530612244898,73
33,18.26530612244898,19.183673469387756,141
33,19.183673469387756,20.10204081632653,22
33,20.10204081632653,21.02040816326531,69
33,21.93877551020408,22.857142857142858,16
33,22.857142857142858,23.775510204081634,3
33,23.775510204081634,24.693877551020407,2
33,24.693877551020407,25.612244897959187,12
33,25.612244897959187,26.53061224489796,5
33,26.53061224489796,27.448979591836736,1
33,32.04081632653062,32.95918367346939,19
33,32.95918367346939,33.87755102040816,8
33,34.79591836734694,35.714285714285715,34
34,14.591836734693878,15.510204081632654,37
34,15.510204081632654,16.42857142857143,25
34,16.42857142857143,17.346938775510203,95
34,17.346938775510203,18.26530612244898,104
34,18.26530612244898,19.183673469387756,125
34,19.183673469387756,20.10204081632653,37
34,20.10204081632653,21.02040816326531,50
34,21.02040816326531,21.93877551020408,4
34,21.93877551020408,22.857142857142858,30
34,23.775510204081634,24.693877551020407,5
34,24.693877551020407,25.612244897959187,13
34,25.612244897959187,26.53061224489796,1
34,32.04081632653062,32.95918367346939,19
34,32.95918367346939,33.87755102040816,2
35,14.591836734693878,15.510204081632654,10
35,15.510204081632654,16.42857142857143,22
35,16.42857142857143,17.346938775510203,75
35,17.346938775510203,18.26530612244898,75
35,18.26530612244898,19.183673469387756,123
35,19.183673469387756,20.10204081632653,12
35,20.10204081632653,21.02040816326531,49
35,21.02040816326531,21.93877551020408,1
35,21.93877551020408,22.857142857142858,22
35,23.775510204081634,24.693877551020407,2
35,24.693877551020407,25.612244897959187,2
35,25.612244897959187,26.53061224489796,5
35,32.04081632653062,32.95918367346939,10
36,14.591836734693878,15.510204081632654,34
36,15.510204081632654,16.42857142857143,8
36,16.42857142857143,17.346938775510203,82
36,17.346938775510203,18.26530612244898,69
36,18.26530612244898,19.183673469387756,52
36,19.183673469387756,20.10204081632653,18
36,20.10204081632653,21.02040816326531,47
36,21.02040816326531,21.93877551020408,1
36,21.93877551020408,22.857142857142858,25
36,24.693877551020407,25.612244897959187,8
36,25.612244897959187,26.53061224489796,5
36,32.04081632653062,32.95918367346939,23
37,14.591836734693878,15.510204081632654,31
37,15.510204081632654,16.42857142857143,5
37,16.42857142857143,17.346938775510203,113
37,17.346938775510203,18.26530612244898,86
37,18.26530612244898,19.183673469387756,33
37,19.183673469387756,20.10204081632653,12
37,20.10204081632653,21.02040816326531,62
37,21.02040816326531,21.93877551020408,1
37,21.93877551020408,22.857142857142858,20
37,24.693877551020407,25.612244897959187,3
37,25.612244897959187,26.53061224489796,4
37,26.53061224489796,27.448979591836736,2
37,32.04081632653062,32.95918367346939,12
38,14.591836734693878,15.510204081632654,32
38,15.510204081632654,16.42857142857143,4
38,16.42857142857143,17.346938775510203,60
38,17.346938775510203,18.26530612244898,101
38,18.26530612244898,19.183673469387756,39
38,20.10204081632653,21.02040816326531,55
38,21.02040816326531,21.93877551020408,2
38,21.93877551020408,22.857142857142858,18
38,23.775510204081634,24.693877551020407,1
38,24.693877551020407,25.612244897959187,4
38,25.612244897959187,26.53061224489796,1
38,26.53061224489796,27.448979591836736,1
38,32.04081632653062,32.95918367346939,4
39,14.591836734693878,15.510204081632654,58
39,16.42857142857143,17.346938775510203,21
39,17.346938775510203,18.26530612244898,74
39,18.26530612244898,19.183673469387756,57
39,20.10204081632653,21.02040816326531,65
39,21.02040816326531,21.93877551020408,7
39,21.93877551020408,22.857142857142858,26
39,24.693877551020407,25.612244897959187,9
40,14.591836734693878,15.510204081632654,53
40,16.42857142857143,17.346938775510203,28
40,17.346938775510203,18.26530612244898,82
40,18.26530612244898,19.183673469387756,51
40,19.183673469387756,20.10204081632653,9
40,20.10204081632653,21.02040816326531,57
40,21.02040816326531,21.93877551020408,4
40,21.93877551020408,22.857142857142858,30
40,24.693877551020407,25.612244897959187,10
40,26.53061224489796,27.448979591836736,1
