year,category,gender,count
2018,Magazine Covers,male,185
2018,Magazine Covers,unknown,60
2019,Magazine Covers,female,2026
2019,Magazine Covers,male,216
2019,Magazine Covers,unknown,69
2020,Magazine Covers,female,1597
2020,Magazine Covers,male,207
2020,Magazine Covers,unknown,52
2021,Magazine Covers,female,1107
2021,Magazine Covers,male,167
2021,Magazine Covers,unknown,41
2022,Magazine Covers,female,1030
2022,Magazine Covers,male,149
2022,Magazine Covers,unknown,72
2023,Magazine Covers,female,1107
2023,Magazine Covers,male,187
2023,Magazine Covers,unknown,71
2024,Magazine Covers,female,983
2024,Magazine Covers,male,167
2024,Magazine Covers,unknown,73
2025,Magazine Covers,female,192
2025,Magazine Covers,male,20
2025,Magazine Covers,unknown,6
2000,Shows,female,5126
2000,Shows,male,131
2000,Shows,unknown,40
2001,Shows,female,5961
2001,Shows,male,134
2001,Shows,unknown,117
2002,Shows,female,6092
2002,Shows,male,175
2002,Shows,unknown,79
2003,Shows,female,7330
2003,Shows,male,216
2003,Shows,unknown,41
2004,Shows,female,8621
2004,Shows,male,318
2004,Shows,unknown,136
2005,Shows,female,10210
2005,Shows,male,298
2005,Shows,unknown,219
2006,Shows,female,11381
2006,Shows,male,317
2006,Shows,unknown,208
2007,Shows,female,13834
2007,Shows,male,388
2007,Shows,unknown,298
2008,Shows,female,13091
2008,Shows,male,292
2008,Shows,unknown,293
2009,Shows,female,13667
2009,Shows,male,337
2009,Shows,unknown,339
2010,Shows,female,15744
2010,Shows,male,570
2010,Shows,unknown,315
2011,Shows,female,20349
2011,Shows,male,1130
2011,Shows,unknown,328
2012,Shows,female,25670
2012,Shows,male,1902
2012,Shows,unknown,702
2013,Shows,female,16875
2013,Shows,male,2173
2013,Shows,unknown,554
2014,Shows,female,18119
2014,Shows,male,2271
2014,Shows,unknown,605
2015,Shows,female,18697
2015,Shows,male,2460
2015,Shows,unknown,816
2016,Shows,female,16336
2016,Shows,male,2591
2016,Shows,unknown,931
2017,Shows,female,13948
2017,Shows,male,2904
2017,Shows,unknown,1004
2018,Shows,female,14359
2018,Shows,male,3633
2018,Shows,unknown,1191
2019,Shows,female,20083
2019,Shows,male,4730
2019,Shows,unknown,2140
2020,Shows,female,13406
2020,Shows,male,3147
2020,Shows,unknown,1625
2021,Shows,female,5620
2021,Shows,male,1771
2021,Shows,unknown,792
2022,Shows,female,11658
2022,Shows,male,3927
2022,Shows,unknown,1957
2023,Shows,female,12339
2023,Shows,male,4628
2023,Shows,unknown,2132
2024,Shows,female,10127
2024,Shows,male,3567
2024,Shows,unknown,1580
2025,Shows,female,4981
2025,Shows,male,1946
2025,Shows,unknown,718
