node,x,y,node_type,centrality
Barbara Bui,-4.524408,6.945538,brand,0.009237
Belstaff,-84.483505,14.19294,magazine,0.006679
Burberry Prorsum,-3.068273,15.743823,brand,0.010137
Creatures of the Wind,-9.517831,20.504623,brand,0.009237
EDUN,-11.886863,9.341936,brand,0.003789
Emanuel Ungaro,-3.629526,6.171684,brand,0.0135
Gareth Pugh,-4.572135,6.139861,magazine,0.010374
Hugo Boss,-16.514301,-73.725769,brand,0.003553
Hussein Chalayan,-16.592484,11.117042,brand,0.010279
Narciso Rodriguez,-11.041647,7.650958,brand,0.012742
Ohne Titel,-1.528784,11.389739,brand,0.009237
Opening Ceremony,-9.640485,17.194645,magazine,0.00919
Philipp Plein,-61.203182,37.818695,brand,0.030458
Pringle of Scotland,-7.622957,15.385973,magazine,0.0117
Sister by Sibling,-11.122355,-13.566228,brand,0.002463
Tadashi Shoji,-11.595354,36.521847,brand,0.009284
Topshop,-10.445533,-15.101142,magazine,0.015347
Vionnet,-14.964756,5.86869,brand,0.013547
Zac Posen,4.383102,10.123322,brand,0.009284
Cushnie Et Ochs,6.20507,9.385586,brand,0.007674
John Elliott,-75.849808,8.578938,brand,0.005826
Zero + Maria Cornejo,-3.926776,41.580715,brand,0.008479
model_00005,-56.622364,-7.713313,model,0.000189
Christian Wijnants,-33.249805,3.355196,brand,0.006111
Jil Sander,-60.610237,-17.981754,magazine,0.031737
model_00007,-76.644066,-9.880041,model,0.000616
Givenchy,-64.658661,-30.715776,magazine,0.039269
Enfants Riches Déprimés,-74.165161,-2.763578,brand,0.002321
Isabel Marant,-36.884541,-29.954357,magazine,0.018947
Jordanluca,-75.460098,-2.351718,brand,0.003032
K-Way,-75.645996,0.230674,brand,0.004689
Louis Vuitton,-57.809818,-33.718719,magazine,0.045948
Wooyoungmi,-76.630051,-6.769169,brand,0.010563
Feng Chen Wang,-79.098244,-2.547575,brand,0.004216
model_00008,-83.398827,10.208803,model,0.002747
Christopher Shannon,-83.789795,10.456521,brand,0.000474
Ferragamo,-31.833193,-28.655573,magazine,0.027663
Mihara Yasuhiro,-74.383949,-1.311017,brand,0.005068
Songzio,-75.892288,1.047324,brand,0.002889
Cerruti,-87.453377,16.20504,magazine,0.005116
Etro,-36.163292,-30.703531,magazine,0.034769
Ben Sherman,-86.367714,10.422383,brand,0.000616
Bode,38.682858,-84.360855,magazine,0.001895
Daniel w. Fletcher,-80.486656,-1.739278,brand,0.002179
Issey Miyake,-30.496799,27.601412,magazine,0.019563
Pal Zileri,-90.689636,17.724972,brand,0.003411
Thom Browne,-52.174084,13.352179,magazine,0.022642
Todd Snyder,-86.814865,18.634748,magazine,0.005779
Christopher Raeburn,-25.32197,20.275278,brand,0.003126
Dirty Pineapple,-51.671913,9.662967,brand,0.001089
Tom Ford,-35.161354,-33.98761,magazine,0.020179
Versace,-67.283844,-27.68294,magazine,0.038984
model_00009,-54.079586,35.818634,model,0.000379
Emporio Armani,-59.063999,42.298923,magazine,0.044574
Erika Cavallini,-38.201477,13.804542,brand,0.001421
Ricostru,-41.586044,27.968676,brand,0.001847
ADEAM,-37.817074,17.510475,brand,0.010847
Jonathan Cohen,-41.583115,26.560741,brand,0.001847
PRISCAVera,-35.229881,23.839985,magazine,0.003505
model_00010,-76.231865,-16.839462,model,0.001705
Jacquemus,-65.643082,-23.320452,magazine,0.019516
Amiri,-82.0662,-6.06965,brand,0.009237
Casablanca,-77.156212,-17.685661,brand,0.008479
Fendi,-53.854374,-27.073246,magazine,0.045
Ludovic de Saint Sernin,-75.967384,-17.190542,brand,0.007153
Salvatore Ferragamo,-31.827866,-28.650215,brand,0.024774
United Colors of Benetton,-65.511063,1.8161,brand,0.011463
Wales Bonner,-77.474663,-10.8581,brand,0.004263
Dunhill,-90.547966,7.88397,brand,0.0063
Massimo Dutti,-79.533333,11.338671,magazine,0.013216
Moncler,-70.734047,-24.120413,magazine,0.027711
model_00011,-9.990209,-24.501749,model,0.009095
Alberta Ferretti,-37.925674,-29.592739,magazine,0.028516
Alexander Wang,-11.807807,-1.774941,magazine,0.020369
Anna Sui,-25.453859,-28.286253,brand,0.013263
Aquascutum,0.4753,22.143768,brand,0.005211
BCBG Max Azria,-0.685907,17.358028,magazine,0.007816
Badgley Mischka,-24.331366,45.725277,magazine,0.012032
Carlos Miele,3.823913,74.010147,brand,0.004263
Carolina Herrera,-35.233013,-23.375942,magazine,0.030884
Chanel,-47.093662,-44.133385,magazine,0.04609
Costume National,-2.423548,13.055228,brand,0.012316
D&G,3.497509,15.954998,brand,0.007579
DKNY,-5.789524,9.679388,magazine,0.018569
Daks,-5.257054,12.146317,brand,0.012032
Derek Lam,-11.847645,1.731662,magazine,0.011511
Diane von Furstenberg,3.898841,12.298375,brand,0.012695
Diesel Black Gold,-11.219718,4.198887,brand,0.012126
Donna Karan,-5.664844,1.242856,brand,0.008053
Gottex,3.804182,17.646469,brand,0.001468
Hakaan,-4.648636,1.106839,brand,0.004168
Hermes,-4.349812,2.621749,brand,0.004168
Isaac Mizrahi,2.754127,14.10638,brand,0.003411
Issa,-11.650689,12.750481,brand,0.007816
Jason Wu,-9.553375,-1.316887,brand,0.022405
John Rocha,15.643984,30.665266,brand,0.003363
Julien Macdonald,-8.946242,30.609293,brand,0.012363
Karl Lagerfeld,-38.550812,-40.310772,brand,0.005211
Luella Bartley,8.766365,42.459339,brand,0.000426
Matthew Williamson,-1.828991,14.000544,brand,0.008953
Max Azria,1.512009,15.80701,brand,0.002605
Michael Kors,-5.829182,-0.488535,magazine,0.012932
Michael Kors Collection,-5.773572,-0.498349,brand,0.025105
Milly,-5.889037,33.1092,brand,0.008668
Prada,-57.253803,-18.536869,magazine,0.044905
Preen,0.610437,14.07997,brand,0.005684
Rag & Bone,-7.00679,10.899953,magazine,0.012079
Rick Owens,-49.309788,14.649905,brand,0.021932
Sophia Kokosalaki,2.70726,14.602467,brand,0.001563
Stella McCartney,-11.904888,0.869935,magazine,0.022547
Thakoon,-1.454369,16.214842,brand,0.013358
Twenty8Twelve,5.63283,32.456207,brand,0.001847
Viktor & Rolf,-28.857296,0.746474,magazine,0.0198
Willow,4.942198,30.838717,brand,0.001705
Gianfranco Ferré,-3.000133,12.040974,brand,0.003837
Issa London,4.877105,43.976315,brand,0.000947
Mugler,-23.272732,-2.292761,magazine,0.0171
Roberto Cavalli,-13.424937,-2.110084,brand,0.029463
Saint Laurent,-42.179779,-31.225758,magazine,0.026242
Yeezy,-9.85184,-19.573771,brand,0.004074
Yves Saint Laurent,0.374505,15.565412,brand,0.005021
Haider Ackermann,-18.641331,5.862922,brand,0.012647
Kanye West,-3.986375,1.36622,brand,0.001421
BOSS,-69.787621,-13.741046,magazine,0.026763
Khaite,-52.527664,-32.857609,magazine,0.011605
model_00012,63.658352,-43.783199,model,0.000474
Sergio Hudson,-33.18362,40.803726,brand,0.0045
Calzedonia,45.316799,-49.913689,brand,0.002321
Christian Cowan,-34.841118,37.489548,brand,0.009095
Cynthia Rowley,1.0669,38.814072,brand,0.007247
Kim Shui,-33.389126,39.714615,brand,0.002463
Prabal Gurung,-20.386469,-7.528455,brand,0.027379
model_00014,-29.133287,45.907932,model,4.7e-05
Christian Siriano,-29.545935,47.161331,brand,0.013263
model_00016,-27.310266,-37.917202,model,0.009758
Adam Selman,-29.558594,15.711596,brand,0.004832
Atlein,-40.837841,-20.712776,brand,0.005447
Byblos,-4.472574,32.689102,brand,0.008668
Dyne,56.150444,55.3545,brand,9.5e-05
Kate Spade,-30.238888,16.000984,brand,0.007437
L'Oréal Paris,12.343369,-30.047104,magazine,0.007816
Matty Bovan,-45.664131,-4.012067,brand,0.006632
Alexander McQueen,-30.969707,-33.796898,magazine,0.027095
Beautiful People,-30.898542,6.596308,brand,0.002368
Coach,-61.801327,-10.899767,magazine,0.021032
Helmut Lang,-13.711558,7.656657,magazine,0.014163
Kate Spade New York,19.303522,21.559547,brand,0.004784
L'Oreal Paris,11.900877,-30.710701,brand,0.002558
R13,-47.749847,-52.926651,brand,0.007863
Sies Marjan,-32.286186,-14.89037,magazine,0.009521
Berluti,-87.894112,13.359838,magazine,0.005874
Boss by Hugo Boss,-15.017689,-0.40894,brand,0.010042
Chanel Haute Couture,-47.029846,-44.139233,brand,0.015253
Coach 1941,-47.814449,-53.059315,brand,0.002747
Jason Wu Collection,-52.701183,-33.117779,brand,0.004832
Palm Angels,-67.732185,3.897376,brand,0.009237
Ports 1961,-16.484982,2.899071,brand,0.025579
Savage x Fenty,-31.496683,35.288284,brand,0.002511
AZ Factory,-51.75079,-26.362181,brand,0.005732
Coperni,-48.53167,-30.516329,magazine,0.007437
Jean Paul Gaultier,-2.728145,-7.979127,brand,0.023779
Jean Paul Gaultier Haute Couture,-2.620549,-8.282924,brand,0.008811
Alexandre Vauthier,-39.612324,-27.377602,magazine,0.013926
American Vogue,-20.354204,-44.941673,magazine,0.022547
COS,-74.025871,-17.599634,magazine,0.012363
Ferrari,-71.636131,-21.141659,magazine,0.008763
Simkhai,-36.829098,-18.403343,magazine,0.01459
Tod's,-52.2953,-31.309589,magazine,0.025342
Ashi Studio,-51.02512,-24.390799,brand,0.005258
Bally,-74.65023,-15.206499,brand,0.006963
Duran Lantink,-49.833458,-30.081873,magazine,0.003316
LUISAVIAROMA.COM,-67.670914,-21.900986,magazine,0.009142
Missoni,-12.605925,4.873846,magazine,0.035574
Victoria's Secret,14.245148,-40.364941,magazine,0.011416
Carven,-8.908335,13.322379,magazine,0.017005
model_00019,-44.403683,35.47649,model,0.002132
Christopher Kane,-30.78455,-3.301579,magazine,0.026621
Yang Li,-22.272015,19.147226,brand,0.004216
Ralph & Russo,-45.723751,41.91671,brand,0.010753
Nicole Miller,-12.632972,37.859497,brand,0.011795
Parsons School of Design,-29.114708,38.644272,brand,0.004832
Faith Connexion,-47.959492,10.825384,brand,0.001753
Guy Laroche,-7.585423,31.872599,brand,0.011605
Hellessy,-27.240162,42.879406,brand,0.003932
Junya Watanabe,-24.425148,37.527668,brand,0.007721
Maison Margiela,-31.872715,-9.189229,magazine,0.019137
Maison Martin Margiela,-20.421886,3.032518,brand,0.014826
Chiara Boni La Petite Robe,-23.654068,47.834606,brand,0.005068
Rebecca Minkoff,-4.742409,48.051182,brand,0.008195
model_00020,-36.386597,-19.060713,model,0.000379
Adam Lippes,-37.734619,37.162331,magazine,0.0036
Peter Do,-35.535816,30.260887,brand,0.005542
model_00021,-25.846903,3.197063,model,0.001137
Aalto,-42.442017,7.199349,brand,0.002558
Baja East,-4.812217,-11.860963,brand,0.004642
Maiyet,-8.913725,19.559425,brand,0.007958
Juicy Couture,19.75643,-41.09832,magazine,0.003458
model_00022,-18.271744,-0.862631,model,0.000189
model_00023,-72.357796,7.175416,model,0.003363
Ovadia & Sons,-85.43251,19.23826,magazine,0.001137
Ann Demeulemeester,-37.555195,-10.095083,magazine,0.024205
Comme des Garçons,-64.873329,-0.858285,brand,0.008005
General Idea,-89.024338,13.180828,brand,0.001184
Katie Eary,-82.973297,9.683332,brand,0.000426
Matthew Miller,-88.470612,9.466524,brand,0.000805
Puma,-24.35038,-16.674376,magazine,0.007437
Pyer Moss,-35.878387,42.399521,brand,0.002084
Robert Geller,-89.456276,13.853595,brand,0.001563
Y-3,-15.000127,9.06744,brand,0.013074
A-Cold-Wall,-81.331955,-1.271161,magazine,0.001658
Bobby Abley,-76.834488,25.745886,brand,0.000995
Dries Van Noten,-36.239082,-10.162667,brand,0.026669
Matthew Adams Dolan,-24.38331,8.358557,magazine,0.0027
OAMC,-77.377075,-6.846269,magazine,0.002274
Heron Preston,-72.018433,6.281057,brand,0.003221
Kith,-80.904846,-24.442678,magazine,0.005779
Marni,-33.840412,-11.772078,brand,0.028469
Tatras,-66.047256,-13.223642,brand,0.001042
Fear of God,-76.004089,-17.118309,brand,0.002368
Rhude,-79.719147,-4.428049,brand,0.004263
model_00024,-53.877171,-26.533991,model,4.7e-05
model_00025,-42.946381,-20.687744,model,0.004737
Bassike Denim,8.23422,-77.135551,brand,0.000332
Christopher Esber,8.304564,-76.41494,brand,0.003363
Anna Quan,-42.948784,-20.741442,brand,4.7e-05
Commas,-75.991547,-16.93129,brand,0.000142
Nensi Dojaka,-50.314526,-28.307934,brand,0.005258
Oroton,8.775033,-76.331718,brand,0.000237
Rebecca Vallance,27.031689,-78.358757,brand,0.000284
St Agni,-42.763977,-20.86924,brand,4.7e-05
We Are Kindred,28.605541,-77.633018,brand,0.000142
ANDREĀDAMO,-50.030746,-23.172955,brand,0.004974
British Vogue,-22.292952,-46.250633,magazine,0.031026
Del Core,-50.518188,-24.748314,brand,0.00829
Molly Goddard,-48.76638,-3.290581,brand,0.007863
The Attico,-48.804798,-31.984871,magazine,0.003126
Tove,-50.575703,-27.482252,brand,0.002558
Zomer,-53.747711,-6.285022,brand,0.002179
16Arlington,-51.642567,-0.455244,brand,0.007532
Collina Strada,-52.591923,5.655273,brand,0.003742
Diesel,-67.684082,1.631723,magazine,0.014637
Galvan,-42.934322,-19.477463,brand,0.001232
TWP,-38.365349,-21.562763,brand,0.001658
Theophilio,-58.464508,3.549274,brand,0.001705
Twinset,-12.701318,-34.727036,brand,0.002558
Vogue France,-16.675268,-36.679863,magazine,0.025105
model_00026,37.6992,-46.509495,model,0.001516
Temperley London,17.002153,36.859261,brand,0.007863
Polo Ralph Lauren,-80.820457,24.368681,magazine,0.008668
model_00028,12.910125,-29.734325,model,9.5e-05
Etam,33.672707,-21.387785,magazine,0.011084
model_00029,33.55093,-28.618223,model,0.000332
Giles Deacon,3.835307,14.157819,brand,0.003316
model_00032,-77.59314,-5.767235,model,0.001042
Courrèges,-53.668453,-35.047924,magazine,0.011984
Dior Men,-83.518776,-7.132298,magazine,0.010942
Botter,-75.534859,-3.927039,brand,0.003079
model_00033,-52.65892,-4.805164,model,0.0018
Hodakova,-48.818199,6.674234,brand,0.001232
Time,-53.855858,-9.354621,brand,0.001232
Vivienne Westwood,-27.943943,22.344185,magazine,0.021837
Alainpaul,-73.416428,-3.427317,brand,0.001895
Bronx & Banco,-33.727665,42.479122,magazine,0.002842
Celia Kritharioti,-48.928905,44.542892,brand,0.004832
Ganni,-13.486713,-71.249573,brand,0.003647
Homolog,-56.194588,1.722981,brand,0.001658
Kent & Curwen,-83.030525,-12.12932,brand,0.0027
Kolor,-72.783005,-2.207289,brand,0.005021
Lemaire,-32.038849,3.304511,magazine,0.012363
Marie Adam-Leenaerdt,-54.542519,-3.464646,brand,0.001705
Mithridate,-52.440735,-0.503181,brand,0.002558
Rokh,-53.072773,-7.872437,brand,0.008337
Simone Rocha,-43.054279,-9.42491,magazine,0.020416
Zankov,-49.185547,17.478134,brand,0.000663
model_00034,-50.381615,-5.582191,model,0.001942
Ahluwalia,-70.16951,-5.756791,brand,0.003221
Conner Ives,-51.244587,-23.359907,brand,0.003221
Kiko Kostadinov,-43.900345,9.72257,brand,0.007342
Rains,-77.733635,-3.784283,brand,0.004168
Vivetta,-48.172348,22.161242,brand,0.005968
Y/Project,-42.530365,18.614214,magazine,0.013263
LaPointe,-25.397745,46.620834,brand,0.008005
Aknvas,-60.730156,14.429058,brand,0.001516
Tolu Coker,-49.33744,4.155207,brand,0.000568
Weinsanto,-11.051883,30.983423,brand,0.000474
model_00035,-42.176052,-26.633146,model,0.004784
Fila,-69.908806,-13.276827,brand,0.005968
Ryan Roche,-30.737682,10.353981,brand,0.001468
Mônot,-48.324657,-23.933874,brand,0.004832
N° 21,-59.203114,-39.335392,brand,0.015347
Alaïa,-50.915573,-35.645103,magazine,0.010658
