brand,prestige,prestige_raw,prestige_scaled,prestige_percentile,prestige_zscore,record_count,tier
Oyster,0.000105,0.000105,104.617077,80.392527,-0.100167,106,Mid
Brunello Cucinelli,0.000104,0.000104,104.385926,80.373655,-0.100443,161,Mid
Chaos,0.000104,0.000104,104.215088,80.354784,-0.100646,39,Mid
Elle Vietnam,0.000104,0.000104,104.169289,80.335912,-0.100701,176,Mid
Cesare Paciotti,0.000104,0.000104,103.970479,80.317041,-0.100938,48,Mid
Ghost,0.000104,0.000104,103.915732,80.298169,-0.101003,110,Mid
Vanity Fair Spain,0.000103,0.000103,103.265575,80.279298,-0.101777,85,Mid
A.F. Vandevorst,0.000103,0.000103,103.146247,80.260426,-0.101919,163,Mid
LOFT,0.000103,0.000103,103.063646,80.241555,-0.102018,39,Mid
Chopard,0.000103,0.000103,102.917743,80.222684,-0.102191,52,Mid
Gabriela Cadena,0.000103,0.000103,102.847841,80.203812,-0.102275,28,Mid
Daks by Giles Deacon,0.000103,0.000103,102.542112,80.184941,-0.102639,39,Mid
Sure,0.000103,0.000103,102.531401,80.166069,-0.102652,54,Mid
Hermï¿½s,0.000103,0.000103,102.503155,80.147198,-0.102685,22,Mid
Coccapani,0.000102,0.000102,102.408314,80.128326,-0.102798,43,Mid
InStyle Australia,0.000102,0.000102,102.378183,80.109455,-0.102834,50,Mid
Reserved,0.000102,0.000102,101.999438,80.090583,-0.103285,50,Mid
Closed,0.000102,0.000102,101.946215,80.071712,-0.103349,52,Mid
Yo Dona,0.000102,0.000102,101.945907,80.052840,-0.103349,104,Mid
Sunday Telegraph UK,0.000102,0.000102,101.775339,80.033969,-0.103552,45,Mid
Marine Serre,0.000102,0.000102,101.551595,80.015097,-0.103819,236,Mid
Versace Fragrance,0.000101,0.000101,101.452280,79.996226,-0.103937,33,Mid
Paper Magazine,0.000101,0.000101,101.409994,79.977354,-0.103987,116,Mid
Wooyoungmi,0.000101,0.000101,101.378810,79.958483,-0.104024,302,Mid
Bruce,0.000101,0.000101,101.364204,79.939611,-0.104042,63,Mid
L'Officiel China,0.000101,0.000101,100.994860,79.920740,-0.104482,101,Mid
Richard Edwards,0.000101,0.000101,100.860550,79.901868,-0.104642,50,Mid
The Sunday Telegraph Magazine,0.000101,0.000101,100.814397,79.882997,-0.104697,41,Mid
Diane von Furstenburg,0.000100,0.000100,100.485548,79.864125,-0.105088,33,Mid
IRO,0.000100,0.000100,100.479809,79.845254,-0.105095,27,Mid
Rock & Republic,0.000100,0.000100,100.281377,79.826382,-0.105332,60,Mid
Bloomingdales,0.000100,0.000100,100.204103,79.807511,-0.105424,30,Mid
Jean Patou,0.000100,0.000100,100.021555,79.788639,-0.105641,121,Mid
Honor,0.000100,0.000100,100.000894,79.769768,-0.105666,97,Mid
M Revista de Milenio,0.000100,0.000100,99.608224,79.750896,-0.106133,67,Mid
Generra,0.000100,0.000100,99.537526,79.732025,-0.106218,84,Mid
Vs. Magazine,0.000099,0.000099,99.337723,79.713153,-0.106456,63,Mid
GQ Russia,0.000099,0.000099,99.024207,79.694282,-0.106829,70,Mid
Osman,0.000099,0.000099,98.942588,79.675410,-0.106926,197,Mid
Vogue Belleza Spain,0.000099,0.000099,98.835421,79.656539,-0.107054,16,Mid
Maska,0.000099,0.000099,98.795268,79.637667,-0.107102,50,Mid
Elle Hungary,0.000099,0.000099,98.792968,79.618796,-0.107104,60,Mid
Chanel Parfums,0.000099,0.000099,98.574499,79.599925,-0.107365,23,Mid
Guerriero,0.000098,0.000098,98.449787,79.581053,-0.107513,102,Mid
Hello! Fashion,0.000098,0.000098,98.374326,79.562182,-0.107603,50,Mid
Erin Wasson x RVCA,0.000098,0.000098,98.095975,79.543310,-0.107935,42,Mid
The New York Times Style Magazine Singapore,0.000098,0.000098,97.837162,79.524439,-0.108243,54,Mid
Red,0.000098,0.000098,97.696516,79.505567,-0.108410,94,Mid
Ocean Drive,0.000098,0.000098,97.644580,79.486696,-0.108472,89,Mid
i-D online,0.000098,0.000098,97.608054,79.467824,-0.108516,102,Mid
Beymen,0.000098,0.000098,97.531533,79.448953,-0.108607,76,Mid
Agatha Ruiz de la Prada,0.000097,0.000097,97.483510,79.430081,-0.108664,145,Mid
Peter Do,0.000097,0.000097,97.404084,79.411210,-0.108759,213,Mid
GQ USA,0.000097,0.000097,97.302139,79.392338,-0.108880,43,Mid
John Varvatos,0.000097,0.000097,97.226943,79.373467,-0.108970,89,Mid
Area,0.000097,0.000097,97.199842,79.354595,-0.109002,229,Mid
Gaspard Yurkievich,0.000097,0.000097,96.995069,79.335724,-0.109246,137,Mid
Marie Claire Netherlands,0.000097,0.000097,96.824738,79.316852,-0.109449,107,Mid
Industrie,0.000097,0.000097,96.802826,79.297981,-0.109475,26,Mid
Noon by Noor,0.000097,0.000097,96.756486,79.279109,-0.109530,142,Mid
Libertine,0.000097,0.000097,96.540134,79.260238,-0.109788,264,Mid
Chloï¿½,0.000097,0.000097,96.532106,79.241366,-0.109797,22,Mid
Aldo,0.000096,0.000096,96.472585,79.222495,-0.109868,54,Mid
Gilles Rosier,0.000096,0.000096,96.441886,79.203623,-0.109905,98,Mid
Rimmel London,0.000096,0.000096,96.428495,79.184752,-0.109921,34,Mid
Victorio & Lucchino,0.000096,0.000096,96.427861,79.165880,-0.109921,130,Mid
Crash,0.000096,0.000096,96.052326,79.147009,-0.110369,79,Mid
Wes Gordon,0.000096,0.000096,95.824522,79.128137,-0.110640,149,Mid
Reebok,0.000096,0.000096,95.759512,79.109266,-0.110717,40,Mid
Gianfranco Ferrè,0.000096,0.000096,95.753418,79.090394,-0.110725,38,Mid
John Elliott,0.000096,0.000096,95.614696,79.071523,-0.110890,182,Mid
Lucky,0.000096,0.000096,95.581231,79.052651,-0.110930,27,Mid
See by Chloe,0.000095,0.000095,95.478623,79.033780,-0.111052,70,Mid
Schön!,0.000095,0.000095,95.463848,79.014908,-0.111070,176,Mid
Pronovias,0.000095,0.000095,94.974529,78.996037,-0.111652,52,Mid
SELF,0.000095,0.000095,94.931905,78.977166,-0.111703,48,Mid
Jean Colonna,0.000095,0.000095,94.908501,78.958294,-0.111731,61,Mid
The Room,0.000095,0.000095,94.881116,78.939423,-0.111764,52,Mid
FAT,0.000095,0.000095,94.813856,78.920551,-0.111844,21,Mid
Myself Germany,0.000095,0.000095,94.562719,78.901680,-0.112143,43,Mid
Christian Cowan,0.000094,0.000094,94.413681,78.882808,-0.112320,273,Mid
GQ Mexico,0.000094,0.000094,94.398816,78.863937,-0.112338,99,Mid
Cosmopolitan USA,0.000094,0.000094,94.345287,78.845065,-0.112402,102,Mid
Oyster Magazine,0.000094,0.000094,94.288754,78.826194,-0.112469,84,Mid
Azzaro Paris,0.000094,0.000094,94.239740,78.807322,-0.112528,125,Mid
Chaos SixtyNine,0.000094,0.000094,94.046913,78.788451,-0.112757,35,Mid
J Brand,0.000094,0.000094,94.029053,78.769579,-0.112779,43,Mid
Mastermind,0.000094,0.000094,93.911683,78.750708,-0.112918,26,Mid
More or Less Magazine,0.000094,0.000094,93.862980,78.731836,-0.112976,69,Mid
Atil Kutoglu,0.000093,0.000093,93.496347,78.712965,-0.113413,115,Mid
FT,0.000093,0.000093,93.353064,78.694093,-0.113584,109,Mid
Micheal Kors,0.000093,0.000093,93.177058,78.675222,-0.113793,19,Mid
The Coveteur,0.000093,0.000093,92.961761,78.656350,-0.114050,34,Mid
Unconditional,0.000093,0.000093,92.830424,78.637479,-0.114206,50,Mid
Emanuel Ungaro Haute-Couture,0.000093,0.000093,92.805006,78.618607,-0.114237,12,Mid
Adidas Originals,0.000093,0.000093,92.521754,78.599736,-0.114574,25,Mid
Marc O‘Polo,0.000093,0.000093,92.501839,78.580864,-0.114598,22,Mid
MFF,0.000092,0.000092,92.097667,78.561993,-0.115079,30,Mid
The Face Magazine,0.000092,0.000092,91.995704,78.543121,-0.115200,97,Mid
Fear of God,0.000092,0.000092,91.596196,78.524250,-0.115676,59,Mid
Graff Diamonds,0.000092,0.000092,91.508479,78.505378,-0.115781,22,Mid
Aspesi,0.000091,0.000091,91.426385,78.486507,-0.115879,23,Mid
Harper's Bazaar Hong Kong,0.000091,0.000091,91.370387,78.467635,-0.115945,85,Mid
Junya Watanabe,0.000091,0.000091,91.231818,78.448764,-0.116110,256,Mid
Marella,0.000091,0.000091,91.055798,78.429892,-0.116320,25,Mid
Dress To Kill Magazine,0.000091,0.000091,90.946838,78.411021,-0.116450,104,Mid
Stern Mode,0.000091,0.000091,90.836184,78.392149,-0.116582,48,Mid
Hamptons,0.000091,0.000091,90.807276,78.373278,-0.116616,43,Mid
SCMP Style South China Morning Post Style Magazine,0.000091,0.000091,90.759559,78.354406,-0.116673,158,Mid
Femina China,0.000091,0.000091,90.629000,78.335535,-0.116828,53,Mid
Eric Bergere,0.000090,0.000090,90.202727,78.316664,-0.117336,48,Mid
Uma Wang,0.000090,0.000090,90.075697,78.297792,-0.117487,197,Mid
Unique,0.000090,0.000090,89.968843,78.278921,-0.117615,56,Mid
Anthropologie,0.000089,0.000089,89.497508,78.260049,-0.118176,45,Mid
Escada Sport,0.000089,0.000089,89.466213,78.241178,-0.118213,58,Mid
InStyle Russia,0.000089,0.000089,89.449895,78.222306,-0.118233,55,Mid
Design Scene,0.000089,0.000089,88.986763,78.203435,-0.118784,165,Mid
Pepe Jeans,0.000089,0.000089,88.936166,78.184563,-0.118845,59,Mid
Elle Greece,0.000089,0.000089,88.785434,78.165692,-0.119024,102,Mid
Band of Outsiders,0.000089,0.000089,88.761243,78.146820,-0.119053,154,Mid
Tove,0.000088,0.000088,88.430140,78.127949,-0.119447,66,Mid
Mercedes Benz,0.000088,0.000088,88.256222,78.109077,-0.119655,22,Mid
Y/Project,0.000088,0.000088,88.227643,78.090206,-0.119689,371,Mid
Collette Dinnigan,0.000088,0.000088,88.222180,78.071334,-0.119695,144,Mid
Stella UK,0.000088,0.000088,88.146214,78.052463,-0.119786,44,Mid
Angel Schlesser,0.000088,0.000088,87.809676,78.033591,-0.120186,87,Mid
Corso,0.000087,0.000087,87.332545,78.014720,-0.120755,18,Mid
Elle South Africa,0.000087,0.000087,87.115451,77.995848,-0.121013,57,Mid
Hervé Léger by Max Azria,0.000087,0.000087,86.762425,77.976977,-0.121434,41,Mid
Equipment,0.000087,0.000087,86.726356,77.958105,-0.121477,29,Mid
Emirates Woman,0.000087,0.000087,86.629421,77.939234,-0.121592,37,Mid
Fausto Sarli,0.000086,0.000086,86.432055,77.920362,-0.121827,32,Mid
Gant,0.000086,0.000086,86.229581,77.901491,-0.122068,102,Mid
Maje,0.000086,0.000086,85.821314,77.882619,-0.122555,30,Mid
Emma Cook,0.000086,0.000086,85.790895,77.863748,-0.122591,102,Mid
Elle Slovenia,0.000086,0.000086,85.583970,77.844876,-0.122837,122,Mid
Lord & Taylor,0.000085,0.000085,85.404363,77.826005,-0.123051,34,Mid
Albino,0.000085,0.000085,85.118480,77.807133,-0.123392,149,Mid
Hercules Books,0.000085,0.000085,84.986841,77.788262,-0.123549,126,Mid
No. 21,0.000085,0.000085,84.949140,77.769390,-0.123594,37,Mid
Sinha-Stanic,0.000085,0.000085,84.917050,77.750519,-0.123632,87,Mid
Zoomp,0.000085,0.000085,84.590208,77.731647,-0.124021,27,Mid
W Magazine China,0.000084,0.000084,84.379961,77.712776,-0.124271,43,Mid
Free People,0.000084,0.000084,84.305278,77.693905,-0.124360,61,Mid
Next,0.000084,0.000084,84.271610,77.675033,-0.124401,26,Mid
Hola! Fashion,0.000084,0.000084,84.266713,77.656162,-0.124406,57,Mid
Sari Gueron,0.000084,0.000084,84.171763,77.637290,-0.124519,100,Mid
Playing Fashion,0.000084,0.000084,83.857204,77.618419,-0.124894,80,Mid
Stylist France,0.000084,0.000084,83.648118,77.599547,-0.125143,79,Mid
Willy Chavarria,0.000083,0.000083,83.498904,77.580676,-0.125321,94,Mid
Adam Selman,0.000083,0.000083,83.478212,77.561804,-0.125346,147,Mid
Fashion East,0.000083,0.000083,83.474780,77.542933,-0.125350,256,Mid
Peacebird,0.000083,0.000083,83.278265,77.524061,-0.125584,94,Mid
ck  Calvin Klein Jewellery,0.000083,0.000083,82.951700,77.505190,-0.125973,11,Mid
i-dmagazine.com,0.000082,0.000082,82.475296,77.486318,-0.126540,41,Mid
Lula,0.000082,0.000082,82.451859,77.467447,-0.126568,86,Mid
Kérastase,0.000082,0.000082,82.370568,77.448575,-0.126665,44,Mid
Veronica Beard,0.000082,0.000082,82.366681,77.429704,-0.126669,142,Mid
GQ Germany,0.000082,0.000082,82.340726,77.410832,-0.126700,125,Mid
PPQ,0.000082,0.000082,82.257829,77.391961,-0.126799,152,Mid
Amazon,0.000082,0.000082,82.185889,77.373089,-0.126885,30,Mid
Jens Laugesen,0.000082,0.000082,82.058805,77.354218,-0.127036,78,Mid
Adidas by Stella McCartney,0.000082,0.000082,81.979671,77.335346,-0.127130,17,Mid
River Island,0.000082,0.000082,81.977908,77.316475,-0.127133,78,Mid
Amiri,0.000082,0.000082,81.977194,77.297603,-0.127133,325,Mid
Wallpaper China,0.000082,0.000082,81.915741,77.278732,-0.127207,59,Mid
New York Magazine,0.000082,0.000082,81.808285,77.259860,-0.127335,36,Mid
Calzedonia,0.000082,0.000082,81.736413,77.240989,-0.127420,77,Mid
Max Factor,0.000082,0.000082,81.712142,77.222117,-0.127449,33,Mid
Pedro Lourenço Capsule,0.000081,0.000081,81.384931,77.203246,-0.127839,49,Mid
Vanessa Seward,0.000081,0.000081,81.344697,77.184374,-0.127887,32,Mid
CH Carolina Herrera,0.000081,0.000081,81.327090,77.165503,-0.127908,16,Mid
Devota & Lomba,0.000081,0.000081,81.232043,77.146631,-0.128021,91,Mid
Boudicca,0.000081,0.000081,81.065090,77.127760,-0.128220,95,Mid
Sephora,0.000081,0.000081,81.038435,77.108888,-0.128251,69,Mid
HONOR,0.000081,0.000081,80.883058,77.090017,-0.128437,101,Mid
Tomo Koizumu,0.000081,0.000081,80.614815,77.071145,-0.128756,40,Mid
Cori,0.000081,0.000081,80.588533,77.052274,-0.128787,87,Mid
Jolie,0.000080,0.000080,80.490359,77.033403,-0.128904,24,Mid
Selfridges,0.000080,0.000080,80.262567,77.014531,-0.129176,75,Mid
Jennifer Nicholson,0.000080,0.000080,80.208592,76.995660,-0.129240,64,Mid
InStyle Spain,0.000080,0.000080,80.059780,76.976788,-0.129417,70,Mid
METAL Magazine,0.000080,0.000080,79.909466,76.957917,-0.129596,173,Mid
Grazia Russia,0.000080,0.000080,79.732957,76.939045,-0.129806,27,Mid
Sweetface,0.000080,0.000080,79.641309,76.920174,-0.129916,38,Mid
Gloria Coelho,0.000080,0.000080,79.589139,76.901302,-0.129978,55,Mid
Y and Kei,0.000080,0.000080,79.522891,76.882431,-0.130057,73,Mid
WWDBeauty Inc,0.000079,0.000079,79.335789,76.863559,-0.130279,17,Mid
Zalando,0.000079,0.000079,79.037609,76.844688,-0.130635,54,Mid
Dunhill,0.000079,0.000079,78.993561,76.825816,-0.130687,200,Mid
Basil Soda,0.000079,0.000079,78.553827,76.806945,-0.131211,78,Mid
Kinder Aggugini,0.000079,0.000079,78.515290,76.788073,-0.131257,96,Mid
Kenneth Ize,0.000078,0.000078,78.325634,76.769202,-0.131483,79,Mid
L'Officiel USA,0.000078,0.000078,78.212257,76.750330,-0.131618,74,Mid
PHI,0.000078,0.000078,78.161931,76.731459,-0.131678,26,Mid
Ashley Isham,0.000078,0.000078,78.152483,76.712587,-0.131689,165,Mid
Lane Crawford,0.000078,0.000078,78.051950,76.693716,-0.131809,30,Mid
Calvin Klein Swimwear,0.000078,0.000078,77.904657,76.674844,-0.131984,20,Mid
Guest In Residence,0.000078,0.000078,77.876524,76.655973,-0.132018,27,Mid
ES Magazine Evening Standard,0.000078,0.000078,77.684974,76.637101,-0.132246,53,Mid
Filippa K,0.000078,0.000078,77.674099,76.618230,-0.132259,89,Mid
BON,0.000078,0.000078,77.523571,76.599358,-0.132438,109,Mid
Replay,0.000078,0.000078,77.515205,76.580487,-0.132448,50,Mid
Zucca,0.000077,0.000077,77.481505,76.561615,-0.132488,116,Mid
Details Magazine,0.000077,0.000077,77.467139,76.542744,-0.132505,168,Mid
Levi's,0.000077,0.000077,77.304644,76.523872,-0.132699,97,Mid
Threeasfour,0.000077,0.000077,77.076518,76.505001,-0.132970,142,Mid
ADAM,0.000077,0.000077,77.063420,76.486129,-0.132986,65,Mid
Velvet Italy,0.000077,0.000077,76.659479,76.467258,-0.133467,86,Mid
Eudon Choi,0.000077,0.000077,76.513151,76.448386,-0.133641,279,Mid
Miguel Palacio,0.000076,0.000076,76.392436,76.429515,-0.133785,84,Mid
Net-a-Porter,0.000076,0.000076,76.346794,76.410644,-0.133840,27,Mid
Vogue China Collections,0.000076,0.000076,76.170458,76.391772,-0.134050,25,Mid
Luar,0.000076,0.000076,76.056645,76.372901,-0.134185,132,Mid
Elle Finland,0.000076,0.000076,76.029979,76.354029,-0.134217,55,Mid
Chanel Watches,0.000076,0.000076,75.889485,76.335158,-0.134384,16,Mid
Givenchy Parfums,0.000076,0.000076,75.792278,76.316286,-0.134500,13,Mid
Lucky Brand Jeans,0.000076,0.000076,75.754627,76.297415,-0.134545,44,Mid
Milly by Michelle Smith,0.000076,0.000076,75.593509,76.278543,-0.134737,94,Mid
Doing Bird,0.000076,0.000076,75.568228,76.259672,-0.134767,23,Mid
Sibling,0.000076,0.000076,75.525209,76.240800,-0.134818,81,Mid
Sue Stemp,0.000075,0.000075,75.434759,76.221929,-0.134926,63,Mid
Display Copy,0.000075,0.000075,75.302180,76.203057,-0.135084,48,Mid
Comme des Garçons,0.000075,0.000075,75.208677,76.184186,-0.135195,259,Mid
Salinas,0.000075,0.000075,75.195577,76.165314,-0.135211,60,Mid
Simonetta Ravizza,0.000075,0.000075,74.885843,76.146443,-0.135580,200,Mid
The New York Times Magazine,0.000075,0.000075,74.862847,76.127571,-0.135607,44,Mid
Elle Romania,0.000075,0.000075,74.780121,76.108700,-0.135706,97,Mid
Tanya Taylor,0.000074,0.000074,74.446811,76.089828,-0.136103,164,Mid
PAULE KA,0.000074,0.000074,74.365879,76.070957,-0.136199,23,Mid
Douglas Cosmetics,0.000074,0.000074,74.289528,76.052085,-0.136290,29,Mid
Alive,0.000074,0.000074,74.221332,76.033214,-0.136371,10,Mid
Basso & Brooke,0.000074,0.000074,74.218916,76.014342,-0.136374,138,Mid
Beauty Papers,0.000074,0.000074,74.143238,75.995471,-0.136464,77,Mid
Elle Turkey,0.000074,0.000074,74.119989,75.976599,-0.136492,90,Mid
Laquan Smith,0.000074,0.000074,74.054023,75.957728,-0.136571,120,Mid
Vogue Collections Paris,0.000074,0.000074,74.029115,75.938856,-0.136600,8,Mid
Charles Anastase,0.000074,0.000074,73.958327,75.919985,-0.136684,81,Mid
C California Style,0.000074,0.000074,73.812242,75.901113,-0.136858,30,Mid
Santa Lolla,0.000074,0.000074,73.725931,75.882242,-0.136961,18,Mid
Furla,0.000074,0.000074,73.645436,75.863370,-0.137057,51,Mid
The Hunger Magazine online,0.000073,0.000073,73.490054,75.844499,-0.137242,76,Mid
Maison Rabih Kayrouz,0.000073,0.000073,73.374679,75.825627,-0.137380,142,Mid
iO Donna,0.000073,0.000073,73.254670,75.806756,-0.137523,117,Mid
N°21,0.000073,0.000073,72.914295,75.787885,-0.137928,24,Mid
The Travel Almanac,0.000073,0.000073,72.579221,75.769013,-0.138327,49,Mid
L'Officiel Malaysia,0.000073,0.000073,72.540080,75.750142,-0.138374,125,Mid
Globus Switzerland,0.000073,0.000073,72.534070,75.731270,-0.138381,46,Mid
Scandinavia SSAW Magazine,0.000072,0.000072,72.280635,75.712399,-0.138683,48,Mid
Harper's Bazaar Bulgaria,0.000072,0.000072,72.244783,75.693527,-0.138725,23,Mid
Marie Claire Mexico,0.000072,0.000072,72.206159,75.674656,-0.138771,115,Mid
McQ Alexander McQueen,0.000072,0.000072,72.195820,75.655784,-0.138784,47,Mid
Jeremy Laing,0.000072,0.000072,72.153727,75.636913,-0.138834,202,Mid
The Impression,0.000072,0.000072,71.807673,75.618041,-0.139246,60,Mid
Stylist Magazine UK,0.000072,0.000072,71.776368,75.599170,-0.139283,55,Mid
Erin Wasson/RVCA,0.000072,0.000072,71.750142,75.580298,-0.139315,16,Mid
Nathan Jenden,0.000072,0.000072,71.673851,75.561427,-0.139405,90,Mid
Gauchère,0.000072,0.000072,71.648629,75.542555,-0.139436,156,Mid
Solid & Striped,0.000072,0.000072,71.577290,75.523684,-0.139520,24,Mid
Editorialist,0.000071,0.000071,71.474482,75.504812,-0.139643,32,Mid
Philip Treacy,0.000071,0.000071,71.470145,75.485941,-0.139648,45,Mid
LaPointe,0.000071,0.000071,71.322411,75.467069,-0.139824,248,Mid
L'Officiel Turkey,0.000071,0.000071,71.260130,75.448198,-0.139898,123,Mid
Chanel Fine Jewellery,0.000071,0.000071,71.115407,75.429326,-0.140071,17,Mid
InStyle China,0.000071,0.000071,70.867769,75.410455,-0.140366,25,Mid
Revillon,0.000071,0.000071,70.703894,75.391583,-0.140561,59,Mid
Luisa Spagnoli,0.000071,0.000071,70.673728,75.372712,-0.140597,159,Mid
The Hunger Magazine,0.000071,0.000071,70.609676,75.353840,-0.140673,139,Mid
L.A.M.B.,0.000071,0.000071,70.533862,75.334969,-0.140763,78,Mid
WE11DONE,0.000070,0.000070,70.447278,75.316097,-0.140866,95,Mid
Vetements,0.000070,0.000070,70.209120,75.297226,-0.141150,106,Mid
Givenchy Eyewear,0.000070,0.000070,70.165842,75.278354,-0.141202,10,Mid
Roberto Torretta,0.000070,0.000070,70.139918,75.259483,-0.141233,65,Mid
Pennyblack,0.000070,0.000070,70.119930,75.240611,-0.141256,57,Mid
Le Gout de M,0.000070,0.000070,69.949138,75.221740,-0.141460,13,Mid
Mark Fast,0.000070,0.000070,69.909449,75.202868,-0.141507,228,Mid
BOSS Orange,0.000070,0.000070,69.868075,75.183997,-0.141556,27,Mid
Schwarzkopf,0.000070,0.000070,69.768962,75.165125,-0.141674,43,Mid
YSL Fragrance,0.000070,0.000070,69.737784,75.146254,-0.141712,16,Mid
D'Scene Magazine,0.000070,0.000070,69.712573,75.127383,-0.141742,91,Mid
Gala France,0.000070,0.000070,69.616228,75.108511,-0.141856,28,Mid
W Magazine online,0.000070,0.000070,69.598433,75.089640,-0.141877,46,Mid
Ronald van der Kemp,0.000070,0.000070,69.527880,75.070768,-0.141962,120,Mid
InStyle Germany,0.000069,0.000069,69.330208,75.051897,-0.142197,47,Mid
Devi Kroell,0.000069,0.000069,69.317220,75.033025,-0.142212,75,Mid
Puss Puss,0.000069,0.000069,69.286477,75.014154,-0.142249,42,Mid
wish report,0.000069,0.000069,69.273798,74.995282,-0.142264,27,Mid
Rokh,0.000069,0.000069,68.984538,74.976411,-0.142609,244,Mid
Tomo Koizumi,0.000069,0.000069,68.933130,74.957539,-0.142670,25,Mid
Hugo by Hugo Boss,0.000069,0.000069,68.895743,74.938668,-0.142714,15,Mid
Fat Magazine,0.000069,0.000069,68.671142,74.919796,-0.142982,22,Mid
Dirk Bikkembergs,0.000069,0.000069,68.664245,74.900925,-0.142990,193,Mid
GQ South Africa,0.000069,0.000069,68.641451,74.882053,-0.143017,42,Mid
Cosmopolitan Russia,0.000068,0.000068,68.208556,74.863182,-0.143533,40,Mid
AllSaints,0.000068,0.000068,68.024850,74.844310,-0.143752,82,Mid
Out of Order Magazine,0.000068,0.000068,67.866777,74.825439,-0.143940,44,Mid
Valentino Garavani,0.000068,0.000068,67.830331,74.806567,-0.143983,11,Mid
As Four,0.000068,0.000068,67.799110,74.787696,-0.144021,81,Mid
10 Magazine Australia,0.000068,0.000068,67.524988,74.768824,-0.144347,44,Mid
EXIT,0.000067,0.000067,67.478302,74.749953,-0.144403,49,Mid
AG Adriano Goldschmied,0.000067,0.000067,67.386163,74.731081,-0.144512,29,Mid
Vanity Fair Germany,0.000067,0.000067,67.232324,74.712210,-0.144696,12,Mid
1a Classe Alviero Martini,0.000067,0.000067,66.969585,74.693338,-0.145009,60,Mid
Camilla Staerk,0.000067,0.000067,66.953739,74.674467,-0.145028,58,Mid
Vanity Fair Espana,0.000067,0.000067,66.908609,74.655595,-0.145081,60,Mid
MAX&Co.,0.000067,0.000067,66.898746,74.636724,-0.145093,51,Mid
Celia Kritharioti,0.000067,0.000067,66.876335,74.617852,-0.145120,122,Mid
The Hunger,0.000067,0.000067,66.759846,74.598981,-0.145258,139,Mid
Clé de Peau Beauté,0.000067,0.000067,66.694116,74.580109,-0.145337,24,Mid
Vamp,0.000067,0.000067,66.552137,74.561238,-0.145506,23,Mid
OVS Industry,0.000067,0.000067,66.548349,74.542366,-0.145510,48,Mid
Macy's,0.000067,0.000067,66.533184,74.523495,-0.145528,45,Mid
System Beauty,0.000066,0.000066,66.374560,74.504624,-0.145717,42,Mid
MM Magazine,0.000066,0.000066,66.200167,74.485752,-0.145925,17,Mid
Maxime Simoëns,0.000066,0.000066,66.126127,74.466881,-0.146013,53,Mid
Glamour Poland,0.000066,0.000066,66.117975,74.448009,-0.146023,50,Mid
GQ Italy,0.000066,0.000066,66.096291,74.429138,-0.146049,55,Mid
Gucci Fragrance,0.000066,0.000066,66.092415,74.410266,-0.146053,15,Mid
Hannibal Laguna,0.000066,0.000066,66.081211,74.391395,-0.146067,91,Mid
Y's,0.000066,0.000066,66.074573,74.372523,-0.146075,52,Mid
Aganovich,0.000066,0.000066,65.824632,74.353652,-0.146372,122,Mid
Le Lis Blanc,0.000066,0.000066,65.715421,74.334780,-0.146502,14,Mid
Zeit Magazine,0.000066,0.000066,65.690692,74.315909,-0.146532,35,Mid
Pinko,0.000066,0.000066,65.687736,74.297037,-0.146535,26,Mid
Arena Homme +,0.000066,0.000066,65.685397,74.278166,-0.146538,109,Mid
Portugal Fashion International,0.000066,0.000066,65.543328,74.259294,-0.146707,56,Mid
Club Monaco,0.000066,0.000066,65.520836,74.240423,-0.146734,70,Mid
Jean-Paul Gaultier Fragrance,0.000065,0.000065,65.415987,74.221551,-0.146859,24,Mid
Rifat Ozbek,0.000065,0.000065,65.266706,74.202680,-0.147037,23,Mid
Alberta Ferretti Limited Edition,0.000065,0.000065,65.190065,74.183808,-0.147128,32,Mid
Harper's Bazaar Argentina,0.000065,0.000065,65.174908,74.164937,-0.147146,82,Mid
Office Magazine,0.000065,0.000065,65.104738,74.146065,-0.147230,108,Mid
Doingbird Magazine,0.000065,0.000065,64.960049,74.127194,-0.147402,19,Mid
Azzaro,0.000065,0.000065,64.898961,74.108322,-0.147475,67,Mid
GQ Spain,0.000065,0.000065,64.881270,74.089451,-0.147496,63,Mid
Rachel Comey,0.000065,0.000065,64.711716,74.070579,-0.147698,285,Mid
Masha Ma,0.000065,0.000065,64.592889,74.051708,-0.147839,174,Mid
Printemps (DEPARTMENT STORE),0.000064,0.000064,64.448475,74.032836,-0.148012,8,Mid
Dutch,0.000064,0.000064,64.402473,74.013965,-0.148066,15,Mid
Sonia Fortuna,0.000064,0.000064,64.365818,73.995093,-0.148110,48,Mid
Glamour Netherlands,0.000064,0.000064,64.278482,73.976222,-0.148214,48,Mid
El Pais Semanal,0.000064,0.000064,64.242487,73.957350,-0.148257,71,Mid
Sergio Hudson,0.000064,0.000064,64.217872,73.938479,-0.148286,145,Mid
Michalsky,0.000064,0.000064,64.180367,73.919607,-0.148331,66,Mid
Noon By Noor,0.000064,0.000064,64.113818,73.900736,-0.148410,111,Mid
Esquire UK,0.000064,0.000064,64.102663,73.881865,-0.148423,59,Mid
Gharani Strok,0.000064,0.000064,64.090458,73.862993,-0.148438,81,Mid
Jasmine di Milo,0.000064,0.000064,64.066093,73.844122,-0.148467,42,Mid
