measurement,metric,event_type,gender,trend,significant,p_value,z_score,sen_slope,sen_intercept,slope_ci_lower,slope_ci_upper,total_change,relative_change_percent,year_start,year_end,time_span_years,n_observations,label
waist-eu_clean,kurtosis,editorials,female,no trend,False,0.2157852878709825,1.2378133212168216,0.4814086865558592,11.892918968960766,-0.431998651727867,1.0428288401684904,11.55380847734062,70.76841331262132,2000,2024,24,25,Waist Eu KURTOSIS - Editorials (female)
hips-eu_clean,iqr,fashion_shows,female,no trend,False,0.39110801120932415,0.8576097105855015,0.0,2.5,0.0,0.0,0.0,0.0,2000,2024,24,25,Hips Eu IQR - Fashion Shows (female)
hips-eu_clean,skewness,fashion_shows,female,increasing,True,0.00020446098532356238,3.713439963650465,0.1877241198968317,0.5385205657065839,0.1085101553977915,0.25442275733562963,4.5053788775239605,206.0101120065402,2000,2024,24,25,Hips Eu SKEWNESS - Fashion Shows (female)
hips-eu_clean,kurtosis,fashion_shows,female,increasing,True,0.00020446098532356238,3.713439963650465,1.3452278710901098,0.9534162966676325,0.7913999349542788,2.2612450890500866,32.285468906162635,192.65414132618676,2000,2024,24,25,Hips Eu KURTOSIS - Fashion Shows (female)
hips-eu_clean,iqr,advertisements,female,no trend,False,0.0800147823328885,1.7506003072053478,0.0,2.5,0.0,0.0,0.0,0.0,2000,2024,24,25,Hips Eu IQR - Advertisements (female)
hips-eu_clean,skewness,advertisements,female,increasing,True,0.029854753709825932,2.1720120542106494,0.16243872987885064,0.8314990499531267,0.02592308845034159,0.2605130741393942,3.898529517092415,99.61510994983523,2000,2024,24,25,Hips Eu SKEWNESS - Advertisements (female)
hips-eu_clean,kurtosis,advertisements,female,no trend,False,0.06503135683341554,1.8450424976628097,0.8674495773936179,2.4352280246048252,-0.08882068520754549,1.793622342378196,20.81878985744683,101.859636074045,2000,2024,24,25,Hips Eu KURTOSIS - Advertisements (female)
hips-eu_clean,iqr,magazine_covers,female,decreasing,True,0.010920573886351592,-2.5452301357032114,-0.023809523809523808,2.5952380952380953,-0.045454545454545456,0.0,-0.5714285714285714,-22.857142857142858,2000,2024,24,25,Hips Eu IQR - Magazine Covers (female)
hips-eu_clean,skewness,magazine_covers,female,increasing,True,4.367622598744347e-05,4.087119456847996,0.1632414869117878,1.0434739686673709,0.12000806223694478,0.21667819162924276,3.9177956858829073,105.03517508556453,2000,2024,24,25,Hips Eu SKEWNESS - Magazine Covers (female)
hips-eu_clean,kurtosis,magazine_covers,female,increasing,True,0.0025885719761729042,3.012790913905094,1.2281691633244611,4.3445015567381695,0.7596984657320955,1.9306029968276175,29.47605991978707,122.17224164470863,2000,2024,24,25,Hips Eu KURTOSIS - Magazine Covers (female)
hips-eu_clean,iqr,editorials,female,decreasing,True,0.000496386205586008,-3.4826989639029575,0.0,2.5,0.0,0.0,0.0,0.0,2000,2024,24,25,Hips Eu IQR - Editorials (female)
hips-eu_clean,skewness,editorials,female,increasing,True,0.012455077396482883,2.498981610758489,0.1637004593331747,1.210028707156599,0.08250954140114022,0.23133775332352435,3.928811023996193,98.0402344201801,2000,2024,24,25,Hips Eu SKEWNESS - Editorials (female)
hips-eu_clean,kurtosis,editorials,female,no trend,False,0.11763382782129739,1.5647828777646613,1.0541022443454633,4.555677695755929,-0.24888613114524016,1.9862948965982405,25.29845386429112,104.03519302003339,2000,2024,24,25,Hips Eu KURTOSIS - Editorials (female)
rfm,iqr,fashion_shows,female,no trend,False,0.06439732964341727,1.8494190301268263,0.013476305718492154,1.8961149664642447,0.0,0.036452216314006115,0.3234313372438117,16.126013152719565,2000,2024,24,25,Rfm IQR - Fashion Shows (female)
rfm,skewness,fashion_shows,female,increasing,True,0.0007079791172892591,3.386470407102625,0.09648691517083238,-0.46253462204511403,0.052155055312759296,0.13485699541003288,2.315685964099977,267.8149363972066,2000,2024,24,25,Rfm SKEWNESS - Fashion Shows (female)
rfm,kurtosis,fashion_shows,female,increasing,True,0.005448604576648863,2.779241230656637,0.2659760747599679,1.616503070306564,0.12139646606645055,0.5056311929088397,6.383425794239229,148.03981930998347,2000,2024,24,25,Rfm KURTOSIS - Fashion Shows (female)
rfm,iqr,advertisements,female,no trend,False,0.18055543479416158,1.3390468093445778,0.022486807544694683,1.9681188201277036,-0.002119841718485338,0.04574755192472524,0.5396833810726724,24.075143999559025,2000,2024,24,25,Rfm IQR - Advertisements (female)
rfm,skewness,advertisements,female,increasing,True,2.6745756389612296e-06,4.694348633293984,0.11848389875905291,-0.1382518643108721,0.08609701688271787,0.15902669156622976,2.84361357021727,136.88289625867074,2000,2024,24,25,Rfm SKEWNESS - Advertisements (female)
rfm,kurtosis,advertisements,female,increasing,True,0.00014074245671946706,3.806859836949848,0.3798064999514855,0.9144476510708563,0.24213378282453454,0.6182664834795665,9.115355998835653,138.03476331098162,2000,2024,24,25,Rfm KURTOSIS - Advertisements (female)
rfm,iqr,magazine_covers,female,increasing,True,9.935181582765296e-05,3.892169441027593,0.027982416507837726,1.7859339891977228,0.016227852293426794,0.041703368305270924,0.6715779961881054,34.13854813956202,2000,2024,24,25,Rfm IQR - Magazine Covers (female)
rfm,skewness,magazine_covers,female,increasing,True,0.00020446098532356238,3.713439963650465,0.04954032679661784,0.862645087232671,0.03141728238965003,0.06413039164599545,1.188967843118828,72.88098020211702,2000,2024,24,25,Rfm SKEWNESS - Magazine Covers (female)
rfm,kurtosis,magazine_covers,female,increasing,True,0.0008385067770961818,3.339760470452934,0.17663068910632007,3.477040452789004,0.10059572550891412,0.28109787721774177,4.239136538551682,75.31249657392345,2000,2024,24,25,Rfm KURTOSIS - Magazine Covers (female)
rfm,iqr,editorials,female,no trend,False,0.2504696774599786,1.1492093230594769,0.032999214781340616,1.7458962750867362,-0.026068376068376153,0.06483400052006742,0.7919811547521748,34.5077503142019,2000,2024,24,25,Rfm IQR - Editorials (female)
rfm,skewness,editorials,female,increasing,True,5.258060130852726e-06,4.55421882334491,0.09850996768911774,0.4698665737824077,0.06130956017163921,0.14051737043144505,2.3642392245388257,128.14848153217008,2000,2024,24,25,Rfm SKEWNESS - Editorials (female)
rfm,kurtosis,editorials,female,increasing,True,0.0008385067770961818,3.339760470452934,0.3941101733973231,2.6931071764346437,0.23429736247768634,0.6045177790885664,9.458644161535755,108.97374282040376,2000,2024,24,25,Rfm KURTOSIS - Editorials (female)
